Package Name,Versions,Total Services,License,Description,Homepage,Repository,Dev Dependency,Services Using
@aws-cdk/aws-ecr,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ECR",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-ecr-assets,1.166.1; 1.165.0,1,Apache-2.0,"Docker image assets deployed to ECR",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-ecs,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ECS",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-ecs-patterns,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ECS",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-efs,1.166.1; 1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::EFS",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-elasticache,1.138.0,1,Apache-2.0,"The CDK Construct Library for AWS::ElastiCache",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-elasticloadbalancing,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ElasticLoadBalancing",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-elasticloadbalancingv2,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::ElasticLoadBalancingV2",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-events,1.166.1; 1.165.0,1,Apache-2.0,"Amazon EventBridge Construct Library",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-events-targets,1.165.0,1,Apache-2.0,"Event targets for Amazon EventBridge",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-globalaccelerator,1.165.0,1,Apache-2.0,"The CDK Construct Library for AWS::GlobalAccelerator",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
@aws-cdk/aws-iam,1.166.1; 1.165.0,1,Apache-2.0,"CDK routines for easily assigning correct and minimal IAM permissions",https://github.com/aws/aws-cdk,git+https://github.com/aws/aws-cdk.git,No,""cloned-repos/airtimemedia/gaming-shared-cdk""
