"_messagetimems","_messagetime","maxLatency","_raw"
"1727207351000","09/24/2024 12:49:11.000 -0700","29","Sep 24 19:49:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:49:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29765,""lateCallbacks"":33,""latePercentage"":0.11086846967915337,""latencyPercentiles"":{""p50"":22,""p90"":27,""p99"":29},""avgLatency"":22.21212121212121,""maxLatency"":29,""timestamp"":""2024-09-24T19:49:11.649Z""}"
"1727207284000","09/24/2024 12:48:04.000 -0700","29","Sep 24 19:48:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:48:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29764,""lateCallbacks"":28,""latePercentage"":0.09407337723424271,""latencyPercentiles"":{""p50"":24,""p90"":28,""p99"":29},""avgLatency"":24.107142857142858,""maxLatency"":29,""timestamp"":""2024-09-24T19:48:04.737Z""}"
"1727207051000","09/24/2024 12:44:11.000 -0700","30","Sep 24 19:44:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:44:11.649[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29763,""lateCallbacks"":33,""latePercentage"":0.1108759197661526,""latencyPercentiles"":{""p50"":22,""p90"":27,""p99"":30},""avgLatency"":22.181818181818183,""maxLatency"":30,""timestamp"":""2024-09-24T19:44:11.649Z""}"
"1727206984000","09/24/2024 12:43:04.000 -0700","30","Sep 24 19:43:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:43:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29762,""lateCallbacks"":29,""latePercentage"":0.09743968819299778,""latencyPercentiles"":{""p50"":23,""p90"":28,""p99"":30},""avgLatency"":23.24137931034483,""maxLatency"":30,""timestamp"":""2024-09-24T19:43:04.737Z""}"
"1727206751000","09/24/2024 12:39:11.000 -0700","30","Sep 24 19:39:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:39:11.648[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29764,""lateCallbacks"":31,""latePercentage"":0.10415266765219729,""latencyPercentiles"":{""p50"":24,""p90"":28,""p99"":30},""avgLatency"":23.096774193548388,""maxLatency"":30,""timestamp"":""2024-09-24T19:39:11.648Z""}"
"1727206684000","09/24/2024 12:38:04.000 -0700","44","Sep 24 19:38:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:38:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29765,""lateCallbacks"":29,""latePercentage"":0.09742986729380144,""latencyPercentiles"":{""p50"":22,""p90"":27,""p99"":44},""avgLatency"":23.17241379310345,""maxLatency"":44,""timestamp"":""2024-09-24T19:38:04.737Z""}"
"1727206451000","09/24/2024 12:34:11.000 -0700","30","Sep 24 19:34:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:34:11.647[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":30,""latePercentage"":0.10080306441315817,""latencyPercentiles"":{""p50"":24,""p90"":28,""p99"":30},""avgLatency"":23.466666666666665,""maxLatency"":30,""timestamp"":""2024-09-24T19:34:11.647Z""}"
"1727206384000","09/24/2024 12:33:04.000 -0700","29","Sep 24 19:33:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:33:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":29,""latePercentage"":0.0974429622660529,""latencyPercentiles"":{""p50"":24,""p90"":28,""p99"":29},""avgLatency"":23.379310344827587,""maxLatency"":29,""timestamp"":""2024-09-24T19:33:04.737Z""}"
"1727206151000","09/24/2024 12:29:11.000 -0700","29","Sep 24 19:29:11 merced-i-059d0f7563b3e2d9c-us-east-1 run[6198]: <info>2024/09/24 19:29:11.647[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29771,""lateCallbacks"":28,""latePercentage"":0.0940512579355749,""latencyPercentiles"":{""p50"":22,""p90"":26,""p99"":29},""avgLatency"":21.892857142857142,""maxLatency"":29,""timestamp"":""2024-09-24T19:29:11.647Z""}"
"1727206084000","09/24/2024 12:28:04.000 -0700","28","Sep 24 19:28:04 merced-i-0a93371fbb112983d-us-east-1 run[6069]: <info>2024/09/24 19:28:04.737[vm-preemption-detector.mjs:69] [main] VM Preemption Report: {""totalCallbacks"":29761,""lateCallbacks"":32,""latePercentage"":0.1075232687073687,""latencyPercentiles"":{""p50"":23,""p90"":27,""p99"":28},""avgLatency"":22.5,""maxLatency"":28,""timestamp"":""2024-09-24T19:28:04.737Z""}"
