================================================================================
ONE-WAY LATENCY ANALYSIS (BIXBY → MASTER)
================================================================================
Time Period: 2025-09-07T00:00:02+00:00 to 2025-09-27T07:21:55+00:00
Matched Entries: 4,156,756
Measurement: Bixby send time → Master receive time
================================================================================

OVERALL STATISTICS
--------------------------------------------------------------------------------
Count:       4,156,756
Min:             0.000 ms
Median:          6.000 ms
Max:         46980.000 ms
P99:           145.000 ms
P99.9:         151.000 ms
P99.99:      24425.298 ms

HOURLY STATISTICS
--------------------------------------------------------------------------------
Hour                    Count      Min   Median      Max      P99    P99.9   P99.99
--------------------------------------------------------------------------------
2025-09-17 15:00        9,529     0.00     6.00   333.00   145.00   172.07   277.74
2025-09-17 16:00        9,319     0.00     6.00 29621.00   146.00   148.00 27329.70
2025-09-17 17:00        9,272     0.00     6.00 28250.00   146.00   147.00 27409.12
2025-09-17 18:00        9,113     0.00     6.00 25418.00   144.00   146.00 24084.00
2025-09-17 19:00        6,740     0.00     6.00 25852.00   142.00   143.26 24852.61
2025-09-17 21:00        4,406     0.00     6.00   206.00   142.00   143.00   196.31
2025-09-17 22:00        9,845     0.00     5.00 28753.00   143.00   143.00 26117.76
2025-09-17 23:00       11,091     0.00     1.00 42505.00   143.00   145.00 40529.55
2025-09-18 00:00        9,876     0.00     5.00 28332.00   144.00   151.25 28014.03
2025-09-18 01:00        9,881     0.00     5.00 26644.00   146.00   147.00 25601.66
2025-09-18 02:00       10,405     0.00     2.00 27809.00   146.00   147.00 24662.09
2025-09-18 03:00       10,224     0.00     3.00 28100.00   142.00   143.00 27185.39
2025-09-18 04:00        9,872     0.00     5.00 28579.00   145.00   256.90 25354.14
2025-09-18 05:00        9,882     0.00     5.00 26505.00   146.00   266.79 24671.09
2025-09-18 06:00       10,128     0.00     4.00 20064.00   144.00   163.59 19777.13
2025-09-18 07:00        9,709     0.00     5.00 25233.00   146.00   147.00 23853.49
2025-09-18 08:00        9,183     0.00     7.00 26801.00   143.00   147.00 23864.60
2025-09-18 09:00        9,352     0.00     6.00 30845.00   143.00   183.65 28180.90
2025-09-18 10:00        9,454     0.00     6.00 24921.00   146.00   148.00 24708.31
2025-09-18 11:00        9,782     0.00     6.00 22625.00   141.00   269.10 22430.36
2025-09-18 12:00        9,790     0.00     6.00 23020.00   141.00   150.00 22936.79
2025-09-18 13:00        9,691     0.00     6.00   386.00   146.00   278.78   380.19
2025-09-18 14:00        9,583     0.00     6.00 27681.00   136.00   147.00 26580.99
2025-09-18 15:00        9,688     0.00     6.00 45108.00   147.00   334.56 27282.95
2025-09-18 16:00        9,638     0.00     6.00 26499.00   145.00   146.00 26152.07
2025-09-18 17:00       10,038     0.00     6.00 30446.00   145.00   145.96 30420.67
2025-09-18 18:00        9,570     0.00     6.00   277.00   146.00   147.00   270.30
2025-09-18 19:00        8,938     0.00     7.00 26380.00   145.00   146.00 25466.64
2025-09-18 20:00        8,922     0.00     7.00 27557.00   146.00   147.71 27377.69
2025-09-18 21:00        9,798     0.00     5.00   356.00   145.00   146.20   331.51
2025-09-18 22:00       10,492     0.00     4.00   368.00   146.00   163.16   349.95
2025-09-18 23:00       10,205     0.00     4.00   148.00   145.00   146.00   148.00
2025-09-19 00:00        9,961     0.00     5.00   362.00   146.00   149.00   347.06
2025-09-19 01:00       10,411     0.00     2.00   303.00   145.00   148.00   274.67
2025-09-19 02:00       10,362     0.00     2.00   343.00   145.00   148.64   337.28
2025-09-19 03:00       10,130     0.00     3.00 24814.00   147.00   251.00 22991.03
2025-09-19 04:00        9,463     0.00     6.00 29463.00   144.00   146.00 26936.65
2025-09-19 05:00        9,874     0.00     5.00 20082.00   144.00   248.37 18418.40
2025-09-19 06:00       10,035     0.00     4.00 28058.00   146.00   148.00 26722.45
2025-09-19 07:00        9,911     0.00     4.00   389.00   145.00   146.00   329.54
